Date,Open,High,Low,Close
27-February-2018,12389.61,12425.00,12315.41,12399.79,
28-February-2018,12380.65,12588.02,12353.80,12505.73,
1-March-2018,12505.65,12516.16,12417.81,12439.91,
5-March-2018,12469.70,12516.66,12377.02,12486.33,
6-March-2018,12594.37,12596.95,12320.69,12347.79,
7-March-2018,12376.39,12480.72,12282.96,12302.92,
8-March-2018,12365.32,12438.27,12293.23,12335.06,
9-March-2018,12368.65,12451.65,12313.42,12402.82,
12-March-2018,12452.90,12654.11,12452.90,12582.39,
13-March-2018,12416.78,12493.14,12342.03,12385.61,
14-March-2018,12384.90,12483.94,12343.65,12416.23,
15-March-2018,12430.02,12455.61,12386.80,12411.31,
16-March-2018,12433.36,12435.87,12262.68,12317.75,
19-March-2018,12276.24,12350.58,12048.52,12074.17,
20-March-2018,12054.87,12274.74,12038.29,12229.76,
21-March-2018,12250.77,12346.54,12217.76,12263.17,
22-March-2018,12260.17,12296.78,12118.75,12151.09,
23-March-2018,12020.32,12204.37,11959.92,12174.71,
26-March-2018,12184.51,12188.67,12030.31,12092.47,
27-March-2018,12065.66,12219.74,12065.66,12138.27,
28-March-2018,12135.82,12163.10,12060.13,12100.55,
2-April-2018,12100.31,12270.05,12100.31,12254.92,
3-April-2018,12245.30,12276.72,12163.10,12225.32,
4-April-2018,12269.47,12317.34,12074.15,12108.32,
5-April-2018,12168.86,12321.41,12168.86,12295.70,
6-April-2018,12276.50,12301.59,12190.72,12233.40,
9-April-2018,12237.69,12263.18,12105.42,12120.82,
10-April-2018,12200.12,12215.85,12126.93,12160.18,
11-April-2018,12201.36,12348.19,12201.36,12325.88,
12-April-2018,12369.75,12774.17,12342.37,12717.40,
13-April-2018,12790.56,12928.16,12649.92,12781.62,
16-April-2018,12428.90,12721.03,12417.65,12682.37,
17-April-2018,12686.81,12686.81,12572.47,12634.50,
18-April-2018,12649.35,12670.91,12592.62,12608.35,
19-April-2018,12630.59,12747.69,12630.59,12723.83,
20-April-2018,12821.51,13387.67,12814.47,13335.13,
23-April-2018,13306.18,13711.01,13247.16,13425.05,
24-April-2018,13434.70,13514.49,13165.52,13197.79,
25-April-2018,13208.61,13437.35,13131.40,13360.84,
26-April-2018,13353.53,13542.03,13334.39,13517.74,
27-April-2018,13532.05,13568.58,13357.53,13374.75,
30-April-2018,13397.24,13638.22,13373.51,13567.69,
2-May-2018,13580.75,13619.54,13356.02,13409.45,
3-May-2018,13414.68,13429.91,13155.67,13192.12,
4-May-2018,13196.82,13278.45,13048.65,13139.81,
7-May-2018,13176.89,13251.28,13114.23,13138.36,
8-May-2018,13121.23,13161.09,13021.10,13068.48,
9-May-2018,13096.00,13210.03,13078.29,13165.76,
10-May-2018,13147.88,13261.05,13090.05,13119.39,
11-May-2018,13142.63,13229.24,13125.85,13202.56,
14-May-2018,13188.60,13217.63,13097.40,13176.52,
15-May-2018,13181.28,13358.01,13170.12,13239.65,
16-May-2018,13235.10,13320.60,13184.20,13263.53,
17-May-2018,13339.28,13349.47,13208.59,13250.20,
18-May-2018,13250.35,13250.39,13155.55,13204.35,
21-May-2018,13207.86,13312.37,13171.19,13223.12,
22-May-2018,13184.27,13271.64,13152.24,13232.09,
23-May-2018,13270.35,13361.91,13170.95,13205.32,
24-May-2018,13254.20,13556.65,13254.20,13529.48,
25-May-2018,13556.68,13739.78,13498.56,13549.52,
28-May-2018,13590.92,13608.29,13268.96,13316.00,
29-May-2018,13350.95,13432.46,13294.77,13360.81,
30-May-2018,13355.28,13422.83,13278.67,13352.39,
31-May-2018,13327.64,13495.76,13261.55,13452.83,
1-June-2018,13483.45,13551.51,13300.47,13326.16,
4-June-2018,13381.79,13401.20,13280.54,13381.50,
5-June-2018,13330.16,13409.25,13142.22,13178.44,
6-June-2018,13198.28,13331.67,13125.43,13305.67,
7-June-2018,13316.62,13495.69,13312.91,13453.40,
8-June-2018,13450.56,13600.88,13426.79,13556.49,
11-June-2018,13574.03,13648.63,13549.36,13583.05,
12-June-2018,13613.35,13701.33,13554.63,13663.07,
13-June-2018,13779.40,13893.43,13774.41,13839.43,
14-June-2018,13846.09,13848.28,13616.40,13645.34,
15-June-2018,13675.39,13996.27,13661.40,13951.11,
18-June-2018,14045.07,14070.67,13817.37,13839.54,
19-June-2018,13815.87,13835.79,13638.18,13672.21,
20-June-2018,13701.25,13727.48,13625.50,13648.87,
21-June-2018,13693.59,13726.59,13606.59,13631.93,
22-June-2018,13640.55,13685.41,13592.60,13623.88,
25-June-2018,13627.80,13786.52,13621.96,13739.17,
26-June-2018,13726.46,13871.33,13685.30,13822.55,
27-June-2018,13867.65,14016.25,13788.89,13836.01,
28-June-2018,13859.44,13980.90,13745.80,13789.58,
29-June-2018,13838.62,13950.29,13800.74,13920.07,
2-July-2018,13930.46,14075.96,13921.34,14043.04,
3-July-2018,14067.60,14211.46,14037.71,14192.93,
4-July-2018,14208.19,14221.67,14078.26,14107.88,
5-July-2018,14148.70,14153.12,13786.93,13881.98,
6-July-2018,13854.38,13985.53,13851.16,13943.23,
9-July-2018,14022.37,14058.42,13892.33,14026.19,
10-July-2018,14131.96,14173.17,14052.57,14084.90,
11-July-2018,14179.35,14524.96,14179.35,14420.33,
12-July-2018,14465.86,14487.20,14268.33,14336.49,
13-July-2018,14398.72,14510.60,14339.48,14385.70,
16-July-2018,14457.13,14732.90,14302.44,14498.59,
17-July-2018,14505.04,14584.96,14408.59,14488.38,
18-July-2018,14578.37,14628.14,14418.50,14470.30,
19-July-2018,14483.22,14538.06,14300.81,14355.39,
20-July-2018,14383.21,14659.38,14383.21,14572.16,
23-July-2018,14613.39,14651.38,14480.73,14589.02,
24-July-2018,14652.55,14691.96,14583.37,14668.40,
25-July-2018,14694.11,14715.28,14570.42,14618.69,
26-July-2018,14579.17,14627.44,14480.83,14519.87,
27-July-2018,14559.92,14582.01,14491.39,14516.97,
30-July-2018,14592.12,14592.12,14394.97,14411.05,
31-July-2018,14400.63,14562.59,14346.99,14527.23,
1-August-2018,14562.75,14605.71,14524.73,14584.78,
2-August-2018,14608.45,14660.47,14482.12,14497.23,
3-August-2018,14551.39,14623.29,14539.46,14604.43,
6-August-2018,14658.45,14702.80,14529.09,14570.06,
7-August-2018,14624.30,14666.60,14543.36,14583.56,
8-August-2018,14589.59,14624.63,14505.92,14566.61,
9-August-2018,14607.05,14668.16,14593.82,14610.88,
10-August-2018,14638.35,14700.67,14586.20,14683.53,
13-August-2018,14700.66,14882.76,14682.58,14865.80,
14-August-2018,14871.21,15043.63,14843.06,14929.29,
16-August-2018,14960.33,15092.01,14952.74,15015.54,
17-August-2018,15085.95,15114.37,14994.92,15091.84,
20-August-2018,14939.17,14990.26,14849.30,14903.00,
21-August-2018,14938.77,15021.91,14898.04,14970.28,
23-August-2018,15017.01,15175.01,15017.01,15144.37,
24-August-2018,15126.79,15194.55,15029.31,15053.31,
27-August-2018,15075.37,15303.88,15074.30,15284.87,
28-August-2018,15306.58,15414.51,15288.40,15351.47,
29-August-2018,15419.93,15425.29,15223.99,15288.18,
30-August-2018,15301.61,15361.96,15236.31,15337.27,
31-August-2018,15379.06,15577.73,15377.41,15548.52,
3-September-2018,15707.89,15756.98,15445.56,15455.43,
4-September-2018,15532.43,15857.21,15510.34,15753.65,
5-September-2018,15833.35,15890.87,15667.39,15696.03,
6-September-2018,15750.88,15773.97,15613.42,15716.74,
7-September-2018,15776.99,15809.75,15654.50,15780.72,
10-September-2018,15822.12,15928.50,15765.81,15783.88,
11-September-2018,15832.86,15902.44,15658.30,15673.92,
12-September-2018,15777.13,15805.43,15686.90,15745.76,
14-September-2018,15726.93,15776.52,15578.82,15746.67,
17-September-2018,15764.43,15851.74,15703.24,15726.06,
18-September-2018,15782.95,15793.62,15599.97,15615.49,
19-September-2018,15690.01,15716.74,15571.15,15638.70,
21-September-2018,15635.40,15635.40,15220.26,15469.67,
24-September-2018,15495.10,15855.82,15443.23,15787.79,
25-September-2018,15824.24,15954.31,15715.77,15845.65,
26-September-2018,15949.19,15949.19,15534.45,15592.04,
27-September-2018,15632.04,15784.85,15607.72,15711.77,
28-September-2018,15667.83,15734.51,15538.06,15628.94,
1-October-2018,15696.06,16087.82,15682.12,16007.53,
3-October-2018,15999.26,16067.01,15619.33,15650.91,
4-October-2018,15629.84,15629.84,15105.23,15136.99,
5-October-2018,15152.21,15444.72,15023.04,15304.42,
8-October-2018,15322.40,15382.86,14988.11,15094.75,
9-October-2018,15102.75,15217.53,14934.14,15121.88,
10-October-2018,15179.50,15194.30,14816.18,14891.63,
11-October-2018,14617.83,14637.07,14287.08,14413.70,
12-October-2018,14457.82,14528.05,14161.81,14299.14,
15-October-2018,14449.71,14677.92,14375.13,14610.11,
16-October-2018,14725.82,14786.08,14599.86,14677.46,
17-October-2018,14837.24,14996.39,14634.06,14677.61,
19-October-2018,14568.40,14570.32,14219.59,14295.71,
22-October-2018,14389.95,14502.25,14130.96,14191.40,
