Date,Open,High,Low,Close
10-May-2018,236.77,236.90,232.72,233.14,
11-May-2018,233.47,234.28,232.17,233.33,
14-May-2018,233.48,234.03,231.56,232.17,
15-May-2018,231.57,236.26,229.09,230.50,
16-May-2018,229.76,230.16,227.38,228.99,
17-May-2018,229.31,230.60,228.76,229.64,
18-May-2018,229.10,229.86,224.15,224.57,
21-May-2018,225.38,225.44,219.70,219.91,
22-May-2018,220.18,222.30,220.01,221.52,
23-May-2018,221.63,222.70,218.81,219.18,
24-May-2018,220.04,221.12,216.03,218.48,
25-May-2018,219.28,223.25,218.98,222.80,
28-May-2018,223.98,226.04,223.90,225.39,
29-May-2018,226.28,227.53,224.97,225.52,
30-May-2018,225.31,225.97,223.74,223.92,
31-May-2018,224.85,225.67,222.64,224.49,
1-June-2018,224.48,224.62,221.06,221.39,
4-June-2018,222.88,222.94,217.87,218.40,
5-June-2018,219.12,219.19,213.89,214.65,
6-June-2018,214.43,216.66,213.89,215.75,
7-June-2018,216.43,219.25,216.25,218.59,
8-June-2018,218.18,219.09,216.85,218.60,
11-June-2018,218.81,220.18,218.56,218.92,
12-June-2018,219.50,220.47,219.16,220.07,
13-June-2018,220.53,221.21,218.33,218.50,
14-June-2018,218.57,218.74,216.20,217.07,
15-June-2018,216.72,217.04,213.93,214.49,
18-June-2018,215.15,215.64,213.02,213.55,
19-June-2018,213.30,213.32,211.46,212.03,
20-June-2018,212.05,212.45,210.42,211.75,
21-June-2018,212.35,212.93,209.55,209.78,
22-June-2018,209.65,211.23,208.78,210.75,
25-June-2018,211.58,211.62,207.50,207.97,
26-June-2018,207.58,208.57,206.88,207.48,
27-June-2018,207.40,207.68,200.90,201.94,
28-June-2018,201.36,201.45,198.13,198.68,
29-June-2018,199.81,205.32,199.51,204.82,
2-July-2018,205.58,205.60,200.91,201.68,
3-July-2018,202.17,202.85,200.71,202.18,
4-July-2018,201.94,202.72,200.51,200.88,
5-July-2018,200.84,201.00,199.58,199.98,
6-July-2018,199.86,202.03,199.31,200.91,
9-July-2018,201.77,203.75,201.58,203.50,
10-July-2018,203.92,205.67,203.92,205.43,
11-July-2018,205.74,206.06,203.96,204.41,
12-July-2018,205.52,206.42,203.95,204.18,
13-July-2018,204.70,205.02,200.30,200.55,
16-July-2018,200.96,201.09,196.44,196.78,
17-July-2018,197.31,199.83,196.34,199.62,
18-July-2018,199.92,201.26,197.28,198.54,
19-July-2018,199.40,200.45,197.60,197.99,
20-July-2018,198.21,198.59,197.27,197.55,
23-July-2018,198.29,200.02,197.25,199.80,
24-July-2018,200.45,204.54,200.20,204.24,
25-July-2018,204.58,205.52,202.94,203.46,
26-July-2018,204.25,206.20,203.56,205.79,
27-July-2018,206.28,207.50,205.33,207.13,
30-July-2018,208.15,209.27,207.26,207.93,
31-July-2018,207.79,208.17,206.86,207.96,
1-August-2018,208.42,209.05,207.05,207.90,
2-August-2018,208.46,209.88,206.83,209.08,
3-August-2018,210.18,211.40,209.99,210.39,
6-August-2018,210.99,212.00,210.93,211.24,
7-August-2018,211.65,211.67,208.60,209.41,
8-August-2018,210.16,210.31,208.17,209.22,
9-August-2018,209.76,211.33,209.48,210.93,
10-August-2018,211.17,211.52,208.02,208.65,
13-August-2018,208.37,208.37,205.89,206.48,
14-August-2018,206.71,207.21,205.29,205.89,
16-August-2018,206.04,207.12,204.70,205.39,
17-August-2018,206.82,207.07,205.35,205.65,
20-August-2018,207.25,209.12,207.13,208.82,
21-August-2018,209.06,209.93,208.51,209.21,
23-August-2018,209.75,210.28,208.33,210.09,
24-August-2018,210.43,211.48,209.13,209.45,
27-August-2018,210.19,212.90,209.91,212.50,
28-August-2018,212.90,214.43,210.87,211.72,
29-August-2018,211.90,213.17,211.06,212.20,
30-August-2018,212.99,213.95,211.99,213.57,
31-August-2018,214.07,215.56,213.66,214.78,
3-September-2018,215.64,217.18,212.97,214.04,
4-September-2018,214.71,215.74,208.48,208.88,
5-September-2018,209.49,209.72,205.44,208.16,
6-September-2018,208.85,210.31,207.64,209.88,
7-September-2018,210.09,210.69,208.41,209.86,
10-September-2018,209.72,209.79,206.92,207.28,
11-September-2018,207.70,208.53,203.47,203.74,
12-September-2018,204.05,204.95,201.91,204.73,
14-September-2018,205.67,208.69,205.61,208.45,
17-September-2018,208.11,209.48,206.13,208.68,
18-September-2018,209.15,209.64,205.48,205.85,
19-September-2018,206.05,207.97,205.48,205.80,
21-September-2018,206.84,208.23,196.89,204.06,
24-September-2018,204.61,205.20,198.58,199.23,
25-September-2018,199.56,199.74,195.03,198.21,
26-September-2018,201.01,201.07,196.64,198.45,
27-September-2018,198.44,199.39,194.60,195.13,
28-September-2018,196.29,196.57,188.92,190.42,
1-October-2018,190.91,193.78,186.70,192.97,
3-October-2018,193.16,195.24,191.35,192.98,
4-October-2018,192.41,192.90,187.16,189.62,
5-October-2018,186.96,186.96,177.99,178.70,
8-October-2018,178.77,180.50,176.39,179.36,
9-October-2018,180.52,181.27,176.96,178.63,
10-October-2018,179.23,184.82,179.14,183.71,
11-October-2018,181.05,184.38,178.86,180.98,
12-October-2018,182.52,187.02,182.52,186.40,
15-October-2018,187.95,187.95,185.04,186.90,
16-October-2018,186.95,190.55,186.95,190.25,
17-October-2018,191.83,192.19,184.78,185.33,
19-October-2018,185.51,186.53,182.29,183.94,
22-October-2018,185.18,185.68,181.87,182.12,
23-October-2018,181.97,182.26,179.07,181.59,
24-October-2018,182.98,184.01,180.16,182.57,
25-October-2018,181.23,181.95,179.70,181.59,
26-October-2018,181.48,181.71,178.35,179.89,
29-October-2018,180.27,186.32,179.39,185.85,
30-October-2018,186.00,187.09,184.47,186.27,
31-October-2018,186.97,189.28,184.01,188.95,
1-November-2018,190.59,192.37,190.42,191.26,
2-November-2018,193.38,195.77,192.82,193.97,
5-November-2018,195.29,195.51,191.91,192.80,
6-November-2018,193.91,194.31,192.70,193.13,
7-November-2018,194.28,195.24,194.23,194.71,
9-November-2018,195.36,196.99,194.46,196.54,
12-November-2018,197.57,198.47,194.30,194.51,
13-November-2018,194.71,197.46,193.99,197.18,
14-November-2018,198.47,198.71,197.01,197.94,
15-November-2018,198.33,199.27,196.78,198.31,
16-November-2018,198.01,198.50,195.15,196.03,
19-November-2018,196.73,197.44,195.63,197.05,
20-November-2018,197.00,197.91,195.52,195.83,
21-November-2018,196.59,197.20,195.48,196.17,
22-November-2018,196.44,196.96,194.86,195.10,
26-November-2018,195.95,196.35,192.38,194.35,
27-November-2018,194.87,195.49,193.08,195.07,
28-November-2018,195.52,195.79,191.15,191.68,
29-November-2018,192.48,192.65,190.69,191.79,
30-November-2018,192.18,192.38,188.71,189.21,
3-December-2018,189.99,192.64,189.67,192.27,
4-December-2018,192.67,193.31,191.93,192.96,
5-December-2018,192.40,193.39,189.33,189.64,
6-December-2018,189.50,189.50,186.04,186.36,
7-December-2018,187.00,187.45,185.22,186.58,
10-December-2018,184.30,184.37,181.56,182.02,
11-December-2018,180.29,184.21,179.85,183.67,
12-December-2018,184.33,188.12,183.83,187.85,
13-December-2018,189.51,189.52,187.90,188.93,
14-December-2018,189.12,190.16,187.45,189.82,
17-December-2018,190.41,192.49,190.41,191.99,
18-December-2018,191.78,194.31,191.12,194.13,
19-December-2018,194.72,197.65,194.54,197.25,
20-December-2018,197.10,197.99,195.92,197.74,
21-December-2018,198.23,198.47,193.94,194.56,
24-December-2018,194.59,195.04,192.37,192.81,
26-December-2018,193.07,194.57,189.97,194.01,
27-December-2018,194.94,195.64,194.37,195.10,
28-December-2018,195.36,198.42,195.33,197.99,
31-December-2018,198.75,199.19,198.06,198.50,
1-January-2019,198.63,199.09,197.69,198.87,
2-January-2019,198.59,198.80,195.77,196.26,
3-January-2019,196.36,196.90,194.00,194.28,
4-January-2019,194.42,196.19,194.33,195.99,
7-January-2019,197.31,197.67,196.25,196.73,
8-January-2019,197.38,197.62,196.34,197.11,
9-January-2019,198.01,198.14,194.75,195.98,
10-January-2019,196.40,196.70,195.69,196.44,
11-January-2019,196.75,197.06,194.79,195.37,
14-January-2019,195.39,195.41,192.48,192.68,
15-January-2019,193.18,194.68,193.16,194.46,
16-January-2019,194.75,195.91,194.63,195.29,
17-January-2019,195.79,196.07,194.50,195.48,
18-January-2019,195.63,195.71,193.32,193.62,
21-January-2019,193.23,194.31,191.75,192.13,
22-January-2019,192.24,192.29,189.99,190.98,
23-January-2019,191.50,191.86,189.20,189.40,
24-January-2019,189.79,190.15,188.60,188.90,
25-January-2019,189.32,190.44,187.03,187.56,
28-January-2019,188.23,188.27,182.71,183.71,
29-January-2019,184.29,185.76,183.21,185.15,
30-January-2019,185.54,185.84,184.33,184.85,
31-January-2019,185.48,186.54,184.96,186.22,
1-February-2019,186.78,188.52,185.44,186.82,
4-February-2019,186.93,186.93,183.72,184.35,
5-February-2019,184.28,185.34,182.10,182.52,
6-February-2019,182.58,183.57,181.17,183.19,
7-February-2019,183.46,184.88,183.15,183.75,
8-February-2019,183.38,184.18,179.76,180.08,
11-February-2019,180.00,180.38,176.57,178.07,
12-February-2019,178.32,179.43,177.45,178.23,
13-February-2019,179.35,180.20,176.59,176.78,
14-February-2019,176.66,177.66,174.97,177.13,
15-February-2019,178.58,180.27,177.77,179.06,
18-February-2019,179.72,180.67,177.91,178.02,
19-February-2019,178.27,180.20,178.26,178.70,
20-February-2019,179.75,183.07,179.73,182.61,
21-February-2019,182.63,183.98,181.94,183.40,
22-February-2019,183.77,185.14,183.23,184.81,
25-February-2019,184.53,184.54,182.07,182.77,
26-February-2019,181.93,182.75,178.91,182.07,
27-February-2019,183.01,185.41,181.95,182.46,
28-February-2019,182.46,185.22,181.88,184.68,
1-March-2019,185.56,188.47,185.47,188.35,
5-March-2019,188.72,194.76,187.99,194.46,
6-March-2019,195.49,197.11,194.73,195.99,
7-March-2019,196.47,196.93,194.91,195.28,
8-March-2019,195.35,195.88,194.01,195.21,
11-March-2019,195.25,199.32,195.18,198.62,
12-March-2019,199.90,202.21,199.77,200.84,
13-March-2019,200.73,200.73,198.13,200.33,
14-March-2019,200.01,201.32,199.16,201.17,
15-March-2019,201.36,203.83,201.00,203.34,
18-March-2019,203.97,205.27,202.81,203.65,
19-March-2019,204.66,206.89,203.82,205.79,
20-March-2019,206.23,206.35,202.70,203.30,
22-March-2019,203.53,205.34,203.18,203.66,
25-March-2019,203.36,205.73,202.47,205.08,
26-March-2019,206.14,207.38,206.11,207.12,
27-March-2019,207.81,208.21,205.95,206.29,
28-March-2019,207.04,207.86,206.58,207.45,
29-March-2019,207.60,209.28,207.57,208.37,
1-April-2019,209.56,210.07,208.19,208.56,
