Date,Open,High,Low,Close
23-April-2018,167.03,168.40,166.58,167.38,
24-April-2018,167.21,168.24,167.08,167.84,
25-April-2018,167.78,168.18,166.91,167.51,
26-April-2018,167.72,168.60,167.53,168.41,
27-April-2018,168.59,170.35,168.58,169.92,
30-April-2018,170.25,170.94,170.15,170.59,
2-May-2018,171.33,171.41,168.84,169.33,
3-May-2018,169.75,169.75,168.39,168.88,
4-May-2018,169.02,169.33,167.77,168.01,
7-May-2018,168.48,169.84,168.30,169.62,
8-May-2018,170.26,170.42,169.53,169.90,
9-May-2018,169.70,170.46,169.51,170.00,
10-May-2018,170.00,170.77,169.13,169.34,
11-May-2018,169.55,170.73,169.29,170.54,
14-May-2018,170.63,170.74,169.70,170.08,
15-May-2018,169.99,172.06,169.51,169.81,
16-May-2018,169.49,169.88,167.94,168.83,
17-May-2018,169.27,169.41,167.72,167.98,
18-May-2018,167.98,168.11,166.30,166.43,
21-May-2018,166.56,167.13,164.79,164.95,
22-May-2018,164.75,165.74,164.33,165.57,
23-May-2018,165.47,165.73,163.90,164.10,
24-May-2018,164.47,165.94,164.00,165.56,
25-May-2018,166.04,167.73,165.93,167.34,
28-May-2018,168.16,168.42,167.84,168.21,
29-May-2018,168.26,168.41,166.70,167.12,
30-May-2018,166.69,167.40,166.02,166.88,
31-May-2018,167.20,168.59,166.62,168.14,
1-June-2018,168.50,169.00,167.35,167.53,
4-June-2018,168.50,168.70,166.66,166.91,
5-June-2018,166.83,167.06,165.64,166.23,
6-June-2018,166.36,168.15,166.16,167.97,
7-June-2018,168.45,170.39,168.45,169.59,
8-June-2018,169.40,170.15,168.81,169.95,
11-June-2018,170.14,171.34,170.09,170.27,
12-June-2018,170.55,171.63,170.35,171.35,
13-June-2018,171.98,172.65,171.57,171.94,
14-June-2018,171.97,172.05,170.48,171.18,
15-June-2018,171.44,171.86,170.44,171.47,
18-June-2018,171.87,171.91,170.91,171.09,
19-June-2018,171.14,171.14,169.29,169.50,
20-June-2018,169.76,170.93,169.74,170.79,
21-June-2018,171.27,171.38,170.05,170.23,
22-June-2018,170.26,171.38,169.40,171.21,
25-June-2018,171.44,171.72,170.06,170.29,
26-June-2018,169.81,170.77,169.72,170.16,
27-June-2018,170.39,170.66,168.40,168.72,
28-June-2018,168.68,169.14,167.10,167.43,
29-June-2018,167.84,169.27,167.78,169.11,
2-July-2018,169.57,169.73,167.61,168.48,
3-July-2018,168.67,169.57,168.16,169.34,
4-July-2018,169.40,170.38,168.80,170.21,
5-July-2018,170.57,170.76,169.07,169.32,
6-July-2018,169.16,170.51,169.14,169.82,
9-July-2018,170.65,171.44,170.59,171.27,
10-July-2018,171.96,172.85,171.77,172.70,
11-July-2018,172.83,173.07,172.18,172.63,
12-July-2018,173.41,174.72,173.36,173.51,
13-July-2018,173.98,174.42,173.36,173.64,
16-July-2018,173.93,173.96,171.53,171.68,
17-July-2018,172.00,173.56,171.54,173.30,
18-July-2018,174.15,174.30,171.67,172.00,
19-July-2018,172.65,172.83,171.42,171.80,
20-July-2018,172.02,173.39,171.75,173.10,
23-July-2018,173.15,174.41,172.89,174.31,
24-July-2018,174.90,175.61,174.64,175.32,
25-July-2018,175.67,175.75,174.83,175.19,
26-July-2018,175.33,176.29,175.20,175.94,
27-July-2018,176.70,177.28,176.46,177.15,
30-July-2018,177.98,178.44,177.15,178.38,
31-July-2018,178.57,179.79,177.80,179.62,
1-August-2018,179.88,180.24,178.87,179.38,
2-August-2018,179.45,179.45,178.04,178.20,
3-August-2018,178.95,179.82,178.93,179.70,
6-August-2018,180.47,180.96,180.13,180.40,
7-August-2018,181.14,181.25,179.78,180.27,
8-August-2018,180.76,181.60,180.24,181.41,
9-August-2018,182.02,182.46,181.79,182.19,
10-August-2018,182.36,182.37,180.92,181.17,
13-August-2018,180.31,180.88,179.79,179.97,
14-August-2018,180.43,181.61,180.21,181.48,
16-August-2018,181.21,182.13,180.60,181.00,
17-August-2018,182.05,182.84,181.91,182.62,
20-August-2018,182.87,183.86,182.85,183.59,
21-August-2018,183.94,184.14,183.30,183.87,
23-August-2018,184.33,184.61,183.71,184.29,
24-August-2018,184.28,184.64,183.12,183.73,
27-August-2018,184.80,186.20,184.54,186.07,
28-August-2018,186.63,187.06,186.15,186.81,
29-August-2018,187.21,187.29,186.05,186.23,
30-August-2018,186.56,186.69,185.47,186.02,
31-August-2018,186.02,186.92,185.47,185.98,
3-September-2018,187.00,187.10,184.05,184.24,
4-September-2018,184.93,185.16,182.04,182.40,
5-September-2018,182.57,182.73,180.08,181.62,
6-September-2018,182.42,183.16,181.12,182.68,
7-September-2018,183.07,184.35,181.93,184.22,
10-September-2018,184.06,184.14,181.57,181.73,
11-September-2018,182.41,182.49,178.80,179.06,
12-September-2018,179.72,180.45,178.15,180.12,
14-September-2018,181.19,182.45,181.17,182.29,
17-September-2018,182.04,182.04,180.04,180.26,
18-September-2018,180.44,180.95,178.36,178.59,
19-September-2018,179.33,179.81,177.49,178.00,
21-September-2018,178.83,179.49,169.68,175.52,
24-September-2018,175.99,176.12,172.39,172.98,
25-September-2018,173.12,174.82,171.50,174.41,
26-September-2018,175.93,175.94,173.63,174.56,
27-September-2018,175.24,175.32,173.00,173.35,
28-September-2018,174.04,174.30,171.04,172.19,
1-October-2018,172.19,174.01,170.47,173.62,
3-October-2018,173.77,173.77,170.65,170.95,
4-October-2018,170.00,170.00,165.95,166.85,
5-October-2018,166.31,166.59,162.43,163.30,
8-October-2018,163.37,164.75,161.37,163.87,
9-October-2018,164.65,164.86,162.10,162.88,
10-October-2018,163.84,166.07,163.25,165.79,
11-October-2018,162.03,163.73,160.25,162.03,
12-October-2018,163.41,165.91,163.34,165.56,
15-October-2018,166.85,166.85,164.76,166.27,
16-October-2018,167.03,168.02,166.71,167.78,
17-October-2018,169.52,169.93,164.78,165.01,
19-October-2018,163.84,163.84,161.95,162.83,
22-October-2018,164.48,164.76,161.57,161.79,
23-October-2018,160.84,161.38,159.24,159.88,
24-October-2018,161.58,162.00,159.30,160.83,
25-October-2018,159.67,159.82,158.39,159.20,
26-October-2018,159.56,159.56,157.37,157.81,
29-October-2018,158.93,162.09,157.92,161.70,
30-October-2018,161.93,162.69,160.86,161.38,
31-October-2018,161.77,163.97,159.96,163.86,
1-November-2018,164.70,164.82,163.13,163.79,
2-November-2018,165.09,167.05,164.96,166.06,
5-November-2018,166.43,166.46,165.32,166.08,
6-November-2018,166.64,167.31,165.35,165.94,
7-November-2018,167.31,167.36,166.88,167.07,
9-November-2018,167.33,167.46,166.25,166.90,
12-November-2018,167.40,167.80,165.02,165.33,
13-November-2018,165.40,166.64,164.54,166.47,
14-November-2018,167.25,167.48,165.51,166.23,
15-November-2018,166.22,167.47,165.86,167.03,
16-November-2018,167.60,168.22,167.11,167.80,
19-November-2018,168.63,169.15,168.07,168.94,
20-November-2018,168.82,168.82,166.94,167.17,
21-November-2018,167.46,167.48,165.62,166.54,
22-November-2018,166.84,167.14,164.90,165.09,
26-November-2018,165.86,166.84,164.46,166.69,
27-November-2018,166.78,167.51,166.11,167.35,
28-November-2018,167.90,168.89,167.72,168.17,
29-November-2018,169.45,170.65,169.15,170.24,
30-November-2018,170.83,171.30,169.97,170.40,
3-December-2018,171.45,171.62,170.42,171.15,
4-December-2018,171.35,171.39,170.67,171.00,
5-December-2018,170.48,170.50,168.81,169.22,
6-December-2018,168.38,168.42,166.09,166.26,
7-December-2018,167.07,168.01,166.44,167.82,
10-December-2018,165.43,165.62,164.29,164.52,
11-December-2018,162.58,166.29,162.20,165.87,
12-December-2018,166.49,169.13,166.07,168.94,
13-December-2018,170.01,170.74,169.34,169.90,
14-December-2018,170.13,170.76,169.41,170.49,
17-December-2018,171.25,171.73,171.08,171.58,
18-December-2018,171.41,172.25,170.53,172.10,
19-December-2018,172.50,173.25,172.48,172.94,
20-December-2018,172.17,172.74,171.59,172.53,
21-December-2018,172.74,172.98,169.15,169.41,
24-December-2018,169.97,170.17,168.15,168.41,
26-December-2018,168.20,169.36,165.95,169.09,
27-December-2018,170.39,170.76,169.49,169.65,
28-December-2018,170.24,171.35,170.24,170.89,
31-December-2018,171.59,171.99,171.00,171.16,
1-January-2019,171.58,171.89,170.24,171.58,
2-January-2019,171.25,171.59,169.27,169.86,
3-January-2019,170.07,170.52,168.13,168.31,
4-January-2019,168.73,169.27,167.41,168.94,
7-January-2019,170.15,170.58,169.36,169.58,
8-January-2019,169.83,170.46,169.14,170.23,
9-January-2019,171.17,171.46,169.25,170.78,
10-January-2019,171.01,171.04,170.20,170.48,
11-January-2019,170.84,170.85,168.95,169.68,
14-January-2019,170.25,170.30,168.45,169.00,
15-January-2019,169.45,171.52,169.45,171.40,
16-January-2019,171.72,172.27,171.52,171.73,
17-January-2019,172.16,172.42,170.97,171.70,
18-January-2019,172.06,172.23,170.99,171.78,
21-January-2019,172.42,173.42,171.84,172.74,
22-January-2019,173.03,173.04,171.56,172.54,
